Packet No.,SSID,BSSID(MAC),Capability,Channel
"1094","ATT056","cc:65:ad:f0:1a:c0","short-slot+ESS+privacy","4"
"1171","ATT192","78:96:84:b1:cc:40","short-slot+ESS+privacy","10"
"524","ATT192","b4:d0:65:ba:cc:40","short-slot+ESS+privacy","10"
"1148","ChangGun","40:70:09:39:62:20","short-slot+ESS+privacy","6"
"1189","Feng-2.4G","20:aa:4b:dc:0f:b1","short-slot+ESS+privacy","6"
"1160","HOME-0FF2","40:70:09:38:0f:f0","short-slot+ESS+privacy","6"
"1181","HOME-2B72","f8:ed:a5:62:2b:70","short-slot+ESS+privacy","6"
"1187","HOME-42A2","20:73:55:09:42:a0","short-slot+ESS+privacy","6"
"382","HOME-48C2","00:1d:d1:89:48:c0","short-slot+res11+ESS+privacy","6"
"1036","HOME-4AD2","90:1a:ca:2e:4a:d0","short-slot+ESS+privacy","None"
"1116","HOME-8982","00:1d:d4:24:89:80","short-slot+ESS+privacy","6"
"961","HOME-AB88","00:26:f3:74:ab:88","short-slot+res11+ESS+privacy","3"
"1129","Lala Mc ","b4:75:0e:23:08:86","short-slot+ESS+privacy","5"
"974","MERCURY_9F718E","8c:21:0a:9f:71:8e","short-slot+ESS+privacy+short-preamble","6"
"34","Nomads","70:f8:0c:77:97:0f","short-slot+ESS","6"
"999","Nomads","b6:75:0e:77:97:0f","short-slot+ESS","6"
"88","Vorga-T:1339","b4:75:0e:77:97:0e","short-slot+ESS+privacy","6"
"1119","WhereThePlayasPlay","78:cd:8e:2c:ca:08","short-slot+res11+ESS+privacy","4"
"1107","belkin.27e","ec:1a:59:3d:e2:7e","short-slot+ESS+privacy","5"
"921","belkin.886.guests","b4:75:0e:23:08:89","short-slot+ESS","5"
"1149","guolipanghu","90:1a:ca:45:6a:60","short-slot+ESS+privacy","2"
"1184","shaolei","6c:e8:73:43:c4:a6","short-slot+ESS+privacy+short-preamble","6"
"572","xfinitywifi","00:00:00:c0:73:41","short-slot+ESS","2"
"388","xfinitywifi","16:cf:e2:e0:ce:80","short-slot+ESS","None"
"872","xfinitywifi","26:73:33:0a:42:a0","short-slot+ESS","6"
"1188","xfinitywifi","26:73:55:09:42:a0","short-slot+ESS","6"
"1079","xfinitywifi","96:1a:ca:2e:4a:d0","short-slot+ESS","6"
"1191","xfinitywifi","96:1a:ca:45:6a:60","short-slot+ESS","2"
"959","xfinitywifi","96:6b:3d:94:35:40","short-slot+ESS","None"
"579","xfinitywifi","f6:2d:c9:62:2b:70","short-slot+ESS","6"
"1183","xfinitywifi","f6:ed:a5:62:2b:70","short-slot+ESS","6"
